5f96ebd6b6627a0017e7882a,type,Image,Product Name,product_desctiption,U.O.M,Is veg,Harvest Price,MRP
5f96ebd6b6627a0017e7882a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sangam Toned milk,-,1 pkt,TRUE,25,25
5f96ebd6b6627a0017e7882a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Smart Toned Milk,-,1 pkt,TRUE,10,10
5f96ebd6b6627a0017e7882a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Spiced Butter Milk- 1LT,-,1,TRUE,0,50
5f96ebd6b6627a0017e7882a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Table butter salted 500gm,-,1 pkt,TRUE,270,270
5f96ebd6b6627a0017e7882a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Thirumala Toned Milk 500ml,-,1 pkt,TRUE,25,25
5f96ebd6b6627a0017e7882a,type,Image,Vijaya Whole Milk 500 Ml Pouch- 500ml,product_desctiption,500 ml,Is veg,31,31
5f96ebd6b6627a0017e7882a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Visaka Milk 500ml,-,1 pkt,TRUE,23,23
5f96ebd6b6627a0017e7882a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Visaka Milk 500ml,-,1 pkt,TRUE,25,25
5f96ebd6b6627a0017e7882a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,visakha good milk 1000ml,-,1 pkt,TRUE,60,60
5f96ebd6b6627a0017e7882a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,visakha good milk 1000ml,-,1 pkt,TRUE,50,50
5f96ebd6b6627a0017e7882a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,visakha good milk 500ml,-,1 pkt,TRUE,30,30
5f96ebd6b6627a0017e7882a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Yoghurt Mango,-,1 pc,TRUE,30,30
