5f9d981b7c6f5cdacc565aa5,type,Image,Product Name,product_desctiption,U.O.M,Is veg,Harvest Price,MRP
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kellogg's Chocos CEREAL,-,1 pc,TRUE,55,55
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kellogs Corn Flakes,-,1 pc,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kellogs Corn Flakes Badam,-,1 pkt,TRUE,65,65
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,MILK BREAD,-,1 pc,TRUE,35,35
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sandwich bread,-,1 pkt,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,sandwich bread,-,1 pkt,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,sandwich bread,-,1 pkt,TRUE,35,35
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sandwich Bread 400G,-,1 pc,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"spencer,s brown bread400gm",-,1 pkt,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"spencer,s milk bread 400gm",-,3 pkt,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Spencer's Whole Meal Brown Bread,-,1 pc,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Spencers  Premium Milk Bread,-,1 pc,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Spencers Whole Wheat Bread-,-,1 pc,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sweet Bread,-,1 pc,TRUE,35,35
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,V CARE MOUSTACHE&BREAD,-,1 pkt,TRUE,25,25
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Wheat Bread- 1pc,-,1 pc,TRUE,0,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,,-,,TRUE,,
