5fabad6b39b40d1e26b3b487,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Name,product_desctiption,uom,Is veg,Harvest Price,MRP
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mixed Dryfruits 40g,-,40 G,TRUE,40,40
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Anjeer 100G,-,100 G,TRUE,100,100
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Lion Desertking 500G,-,500 G,TRUE,234,234
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Lion Desertking 500G,-,500 G,TRUE,236,236
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,LI.DESERTKING DATES250GM,-,250  G,TRUE,120,120
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,LI.DESERTKING DATES250GM,-,250  G,TRUE,122,122
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,LI.DESERTKING DATES250GM,-,250  G,TRUE,123,123
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,cashew 250grams,-,250  G,TRUE,150,150
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,cashew 250grams,-,250  G,TRUE,250,250
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,A.S.Dryfruits 200G,-,200  G,TRUE,125,125
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,A.S.Dryfruits 200G,-,200  G,TRUE,130,130
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cashew 2pcs 100G,-,100 G,TRUE,100,100
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cashew 500G,-,500 G,TRUE,500,500
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,NATRAJ WALNUT Blue 250G,-,250 G,TRUE,549,549
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Alubukara 500Gm,-,500G,TRUE,220,220
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Anjeer 200g,-,200 G,TRUE,220,220
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kismis 250G,-,250 G,TRUE,120,120
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Almonds500g,-,500 G,TRUE,500,500
5fabad6b39b40d1e26b3b487,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kimia Dates 500G,-,500 G,TRUE,350,350
